grid_cell,grid_lat,grid_lon,volume,impact
"12.98,77.60378",12.979995,77.603782,298,906.0
"12.96869,77.60609",12.968691,77.606089,439,899.0
"12.99582,77.58303",12.995822,77.583026,271,898.5
"12.90538,77.62915",12.905385,77.629151,436,897.0
"12.90765,77.59917",12.907646,77.59917,293,892.5
"12.92799,77.6845",12.927994,77.684502,353,877.5
"12.92573,77.67989",12.925733,77.679889,433,873.5
"13.06817,77.58533",13.068172,77.585332,434,872.5
"13.00034,77.67758",13.000344,77.677583,262,864.0
"12.99808,77.6107",12.998083,77.610701,428,860.0
"12.93704,77.58303",12.937038,77.583026,351,851.0
"13.01617,77.52998",13.01617,77.529982,295,850.0
"12.98226,77.54843",12.982256,77.548432,273,846.0
"12.98452,77.55535",12.984517,77.555351,272,822.0
"12.96417,77.58072",12.964169,77.58072,270,822.0
"12.97321,77.62223",12.973213,77.622232,390,821.0
"12.97773,77.54151",12.977734,77.541513,262,819.0
"12.92799,77.58072",12.927994,77.58072,267,813.0
"12.96417,77.53921",12.964169,77.539207,322,803.5
"12.99356,77.66144",12.993561,77.661439,401,802.0
"12.96643,77.5369",12.96643,77.5369,262,786.0
"12.98678,77.54843",12.986778,77.548432,219,781.5
"12.95739,77.58533",12.957386,77.585332,258,780.0
"12.92573,77.67528",12.925733,77.675277,386,774.5
"12.93026,77.68681",12.930255,77.686808,279,773.0
"13.00939,77.55074",13.009387,77.550738,312,772.0
"12.8986,77.67528",12.898602,77.675277,382,767.5
"12.99582,77.56919",12.995822,77.569188,378,766.0
"12.97095,77.61762",12.970952,77.61762,372,761.0
"12.98452,77.60378",12.984517,77.603782,330,759.5
"12.92347,77.61762",12.923472,77.61762,257,756.5
"13.0026,77.55304",13.002605,77.553044,247,745.5
"12.93252,77.69142",12.932516,77.691421,325,740.0
"12.99356,77.69373",12.993561,77.693727,232,728.5
"13.02974,77.53459",13.029736,77.534594,295,727.5
"12.95739,77.5738",12.957386,77.573801,237,726.0
"12.94156,77.69603",12.941559,77.696033,221,722.0
"12.95965,77.59686",12.959647,77.596863,238,714.0
"12.97773,77.6084",12.977734,77.608395,229,714.0
"12.93026,77.58303",12.930255,77.583026,233,711.0
"12.90538,77.62684",12.905385,77.626845,204,708.0
"12.96191,77.71679",12.961908,77.71679,354,708.0
"12.99808,77.54151",12.998083,77.541513,227,705.0
"12.95512,77.58533",12.955125,77.585332,234,702.0
"13.02748,77.57149",13.027475,77.571494,349,699.0
"12.93026,77.63146",12.930255,77.631458,309,693.0
"12.83982,77.64299",12.839818,77.642989,345,691.0
"12.99356,77.55074",12.993561,77.550738,229,690.0
"12.83982,77.67528",12.839818,77.675277,253,683.5
"12.94382,77.59456",12.94382,77.594557,226,681.0
"12.99356,77.55304",12.993561,77.553044,194,679.5
"12.97321,77.60609",12.973213,77.606089,289,677.5
"12.95965,77.64299",12.959647,77.642989,213,670.0
"12.94382,77.57149",12.94382,77.571494,214,669.0
"12.95965,77.6476",12.959647,77.647601,289,666.0
"12.98,77.54843",12.979995,77.548432,215,664.5
"12.99582,77.69373",12.995822,77.693727,240,660.0
"12.97773,77.56919",12.977734,77.569188,165,655.5
"12.92573,77.55074",12.925733,77.550738,200,645.0
"12.93478,77.61301",12.934777,77.613007,200,640.5
"12.95739,77.58072",12.957386,77.58072,204,637.5
"12.99356,77.66605",12.993561,77.666052,186,635.5
"12.9913,77.66144",12.9913,77.661439,312,626.5
"13.18348,77.67989",13.183479,77.679889,259,623.5
"12.95739,77.71448",12.957386,77.714483,300,622.5
"12.98,77.61301",12.979995,77.613007,310,620.0
"13.04556,77.57611",13.045562,77.576107,308,616.0
"12.93026,77.60609",12.930255,77.606089,269,613.5
"12.98904,77.55074",12.989039,77.550738,199,612.0
"13.02295,77.58303",13.022953,77.583026,305,610.0
"12.93026,77.69142",12.930255,77.691421,228,608.5
"12.91217,77.60609",12.912167,77.606089,229,603.0
"12.93026,77.6084",12.930255,77.608395,141,600.0
"12.95739,77.6453",12.957386,77.645295,292,594.0
"12.87599,77.59456",12.875993,77.594557,295,592.5
"12.93478,77.60148",12.934777,77.601476,119,591.0
"12.95286,77.58533",12.952864,77.585332,195,585.0
"12.98452,77.55074",12.984517,77.550738,195,585.0
"12.95965,77.51153",12.959647,77.511531,278,580.5
"12.99582,77.54382",12.995822,77.543819,190,579.0
"12.98678,77.57841",12.986778,77.578413,188,579.0
"12.97773,77.63838",12.977734,77.638376,210,569.0
"13.032,77.55766",13.031997,77.557657,133,568.5
"12.98904,77.59917",12.989039,77.59917,278,563.5
"12.95739,77.51845",12.957386,77.51845,202,556.5
"12.98678,77.59686",12.986778,77.596863,259,556.0
"13.0026,77.7214",13.002605,77.721402,123,553.5
"12.95512,77.51845",12.955125,77.51845,213,553.0
"12.95965,77.59917",12.959647,77.59917,183,552.0
"12.96191,77.64068",12.961908,77.640683,163,550.5
"12.97773,77.61301",12.977734,77.613007,274,550.5
"12.93478,77.51614",12.934777,77.516144,253,544.5
"12.98904,77.55304",12.989039,77.553044,180,544.5
"13.06817,77.58764",13.068172,77.587638,268,538.5
"12.97547,77.58764",12.975473,77.587638,164,537.0
"13.01391,77.55304",13.013909,77.553044,146,532.0
"13.00713,77.54612",13.007126,77.546125,176,531.0
"12.96191,77.59456",12.961908,77.594557,177,531.0
"12.91217,77.63146",12.912167,77.631458,261,529.5
"12.97321,77.61993",12.973213,77.619926,225,519.5
"12.97095,77.6453",12.970952,77.645295,162,518.5
"13.00713,77.69142",13.007126,77.691421,220,515.0
"12.93478,77.60609",12.934777,77.606089,110,513.0
"13.00487,77.54843",13.004866,77.548432,168,510.0
"12.90538,77.59917",12.905385,77.59917,160,504.0
"13.188,77.67989",13.188001,77.679889,252,504.0
"12.93026,77.69373",12.930255,77.693727,135,500.0
"12.95512,77.57611",12.955125,77.576107,164,498.0
"12.92799,77.58303",12.927994,77.583026,166,498.0
"12.97095,77.54612",12.970952,77.546125,161,498.0
"12.98678,77.5738",12.986778,77.573801,237,486.0
"12.99356,77.6084",12.993561,77.608395,239,485.5
"13.12017,77.62915",13.120173,77.629151,151,483.0
"12.97773,77.62684",12.977734,77.626845,151,480.5
"13.04782,77.59225",13.047823,77.592251,236,477.0
"13.02748,77.5738",13.027475,77.573801,238,477.0
"12.88956,77.63838",12.889558,77.638376,218,473.0
"12.95965,77.58533",12.959647,77.585332,154,471.0
"12.98904,77.5369",12.989039,77.5369,152,471.0
"12.99582,77.61301",12.995822,77.613007,234,468.0
"12.9913,77.5369",12.9913,77.5369,147,468.0
"12.97547,77.58994",12.975473,77.589945,136,465.0
"12.93704,77.57611",12.937038,77.576107,153,462.0
"12.97095,77.61531",12.970952,77.615314,215,459.5
"13.09304,77.59225",13.093042,77.592251,227,455.0
"12.93704,77.69834",12.937038,77.698339,172,444.0
"13.02974,77.5369",13.029736,77.5369,181,441.5
"12.97095,77.59456",12.970952,77.594557,124,438.0
"12.93252,77.61531",12.932516,77.615314,145,436.5
"12.92573,77.69373",12.925733,77.693727,129,433.0
"12.84208,77.64299",12.842079,77.642989,204,433.0
"13.01843,77.52998",13.018431,77.529982,172,431.5
"12.96869,77.64299",12.968691,77.642989,158,429.5
"12.96643,77.64068",12.96643,77.640683,131,429.5
"12.98452,77.74447",12.984517,77.744465,98,428.5
"12.98,77.57149",12.979995,77.571494,135,426.0
"12.95965,77.63607",12.959647,77.63607,140,423.0
"12.96869,77.57611",12.968691,77.576107,163,423.0
"12.95512,77.70295",12.955125,77.702952,177,421.5
"12.92799,77.58533",12.927994,77.585332,138,421.5
"12.91669,77.59456",12.916689,77.594557,103,418.5
"12.98226,77.55996",12.982256,77.559963,139,417.0
"12.94834,77.59686",12.948342,77.596863,144,417.0
"12.97321,77.56919",12.973213,77.569188,125,415.5
"12.95512,77.71448",12.955125,77.714483,168,414.5
"12.96417,77.64068",12.964169,77.640683,109,412.5
"12.94156,77.56688",12.941559,77.566882,202,411.5
"13.02748,77.53921",13.027475,77.539207,151,411.5
"12.98226,77.56227",12.982256,77.562269,135,411.0
"12.97773,77.55304",12.977734,77.553044,130,408.0
"12.94382,77.69603",12.94382,77.696033,154,408.0
"12.92573,77.6084",12.925733,77.608395,100,406.0
"13.05008,77.52537",13.050084,77.525369,202,404.0
"12.97321,77.61531",12.973213,77.615314,196,403.0
"12.93478,77.53459",12.934777,77.534594,200,400.0
"12.8873,77.56227",12.887297,77.562269,200,400.0
"13.02748,77.54151",13.027475,77.541513,173,398.0
"12.97095,77.60609",12.970952,77.606089,181,397.0
"12.98678,77.57611",12.986778,77.576107,124,396.0
"13.05008,77.55074",13.050084,77.550738,160,395.0
"13.07043,77.59225",13.070432,77.592251,194,395.0
"12.96417,77.55535",12.964169,77.555351,118,392.0
"13.02521,77.57841",13.025214,77.578413,196,392.0
"12.98904,77.5738",12.989039,77.573801,195,392.0
"12.95739,77.6476",12.957386,77.647601,170,392.0
"12.94608,77.57841",12.946081,77.578413,129,390.0
"12.98,77.57611",12.979995,77.576107,127,388.5
"12.98452,77.5738",12.984517,77.573801,190,387.0
"12.90991,77.57149",12.909906,77.571494,123,387.0
"12.88504,77.64068",12.885036,77.640683,193,386.0
"12.93252,77.62915",12.932516,77.629151,193,386.0
"12.94156,77.57149",12.941559,77.571494,128,384.0
"12.9393,77.56458",12.939299,77.564576,188,383.5
"13.06139,77.58533",13.061389,77.585332,173,382.0
"12.91895,77.61993",12.91895,77.619926,103,381.0
"12.9393,77.57149",12.939299,77.571494,127,381.0
"12.98,77.55304",12.979995,77.553044,116,379.5
"12.95512,77.5738",12.955125,77.573801,126,378.0
"12.97773,77.60148",12.977734,77.601476,116,378.0
"12.98904,77.5",12.989039,77.5,185,377.5
"13.05008,77.59225",13.050084,77.592251,176,374.5
"12.96869,77.63838",12.968691,77.638376,162,371.0
"13.04556,77.74908",13.045562,77.749077,152,370.0
"12.91217,77.58533",12.912167,77.585332,107,369.0
"12.96869,77.5369",12.968691,77.5369,120,367.5
"12.99582,77.56688",12.995822,77.566882,182,366.5
"12.97773,77.58994",12.977734,77.589945,99,366.0
"13.02295,77.59225",13.022953,77.592251,177,365.0
"12.95965,77.52537",12.959647,77.525369,182,364.0
"13.18122,77.67758",13.181218,77.677583,126,361.5
"12.91217,77.60378",12.912167,77.603782,179,360.5
"13.06139,77.58994",13.061389,77.589945,165,358.0
"13.02748,77.56919",13.027475,77.569188,162,356.5
"13.00713,77.54151",13.007126,77.541513,171,354.5
"12.98,77.57841",12.979995,77.578413,113,354.0
"12.98,77.55535",12.979995,77.555351,102,352.5
"12.98452,77.60148",12.984517,77.601476,81,350.0
"12.91217,77.63607",12.912167,77.63607,175,350.0
"13.03878,77.51845",13.038779,77.51845,155,348.5
"12.97547,77.58303",12.975473,77.583026,111,348.0
"12.93026,77.58533",12.930255,77.585332,114,348.0
"12.94608,77.69834",12.946081,77.698339,128,343.5
"12.98,77.59225",12.979995,77.592251,113,342.0
"12.9913,77.55766",12.9913,77.557657,114,342.0
"12.91669,77.57611",12.916689,77.576107,104,342.0
"12.98,77.58764",12.979995,77.587638,110,340.5
"12.93252,77.6107",12.932516,77.610701,91,336.0
"12.95965,77.71448",12.959647,77.714483,167,334.0
"13.18574,77.67758",13.18574,77.677583,132,334.0
"12.97095,77.59225",12.970952,77.592251,106,333.0
"12.96417,77.58533",12.964169,77.585332,110,331.5
"12.86921,77.65221",12.86921,77.652214,162,330.0
"13.01843,77.55766",13.018431,77.557657,153,328.5
"12.98678,77.51845",12.986778,77.51845,164,328.0
"13.0026,77.56919",13.002605,77.569188,162,324.0
"12.98904,77.59686",12.989039,77.596863,155,323.5
"12.95739,77.66605",12.957386,77.666052,160,322.5
"12.91895,77.66375",12.91895,77.663745,161,322.0
"12.98904,77.55535",12.989039,77.555351,107,321.0
"12.88278,77.64068",12.882775,77.640683,159,318.0
"12.98678,77.61762",12.986778,77.61762,148,316.0
"12.89634,77.7191",12.896341,77.719096,149,313.0
"12.99582,77.69142",12.995822,77.691421,129,311.5
"12.95965,77.70065",12.959647,77.700646,149,308.5
"12.86921,77.65452",12.86921,77.65452,130,307.5
"12.93478,77.6107",12.934777,77.610701,84,306.0
"12.96191,77.73293",12.961908,77.732934,84,304.5
"12.83982,77.6476",12.839818,77.647601,152,304.0
"12.98678,77.58994",12.986778,77.589945,101,303.0
"12.93478,77.58303",12.934777,77.583026,101,303.0
"12.9506,77.60609",12.950603,77.606089,100,303.0
"12.95512,77.57841",12.955125,77.578413,94,303.0
"13.06817,77.59225",13.068172,77.592251,143,299.5
"12.91217,77.62454",12.912167,77.624539,148,298.5
"12.98678,77.55535",12.986778,77.555351,99,297.0
"12.92799,77.6084",12.927994,77.608395,61,297.0
"13.19026,77.67989",13.190262,77.679889,148,296.0
"12.99356,77.57149",12.993561,77.571494,148,296.0
"12.90991,77.62454",12.909906,77.624539,138,296.0
"12.97773,77.54382",12.977734,77.543819,97,294.0
"13.00034,77.6107",13.000344,77.610701,146,292.0
"12.9393,77.52306",12.939299,77.523063,129,290.5
"12.96869,77.71218",12.968691,77.712177,132,290.0
"12.9913,77.65221",12.9913,77.652214,65,290.0
"12.87373,77.6476",12.873732,77.647601,145,290.0
"12.92573,77.58072",12.925733,77.58072,96,288.0
"12.95965,77.58303",12.959647,77.583026,92,288.0
"13.02748,77.58533",13.027475,77.585332,143,287.0
"13.07043,77.58994",13.070432,77.589945,140,285.0
"12.99356,77.61531",12.993561,77.615314,141,284.5
"12.9913,77.64991",12.9913,77.649908,70,283.5
"13.00487,77.68681",13.004866,77.686808,134,280.5
"12.98452,77.55996",12.984517,77.559963,93,279.0
"12.92573,77.54843",12.925733,77.548432,82,276.0
"12.92573,77.58303",12.925733,77.583026,92,276.0
"12.95965,77.50922",12.959647,77.509225,131,275.5
"12.98452,77.5369",12.984517,77.5369,89,273.0
"13.05687,77.58994",13.056867,77.589945,133,271.0
"12.92573,77.61762",12.925733,77.61762,132,270.0
"12.95965,77.6453",12.959647,77.645295,125,269.0
"12.91669,77.59686",12.916689,77.596863,62,268.5
"12.96643,77.58533",12.96643,77.585332,87,267.0
"12.92347,77.67528",12.923472,77.675277,133,266.0
"12.9913,77.58994",12.9913,77.589945,133,266.0
"13.032,77.58764",13.031997,77.587638,133,266.0
"12.90765,77.60148",12.907646,77.601476,87,264.0
"12.96869,77.54382",12.968691,77.543819,126,264.0
"13.09756,77.59686",13.097564,77.596863,123,263.5
"12.93252,77.58303",12.932516,77.583026,86,262.5
"13.09756,77.58764",13.097564,77.587638,128,262.0
"12.96869,77.57841",12.968691,77.578413,96,260.0
"12.96643,77.59917",12.96643,77.59917,82,259.5
"12.98452,77.59225",12.984517,77.592251,84,258.0
"12.98678,77.55304",12.986778,77.553044,86,258.0
"12.97095,77.61993",12.970952,77.619926,121,257.5
"12.97095,77.50692",12.970952,77.506919,95,257.5
"12.95286,77.59225",12.952864,77.592251,85,255.0
"12.91217,77.6084",12.912167,77.608395,84,252.0
"12.98904,77.59225",12.989039,77.592251,105,251.5
"13.03426,77.55535",13.034258,77.555351,107,251.5
"13.06365,77.58764",13.06365,77.587638,115,247.5
"12.91217,77.67989",12.912167,77.679889,122,246.5
"12.90765,77.54843",12.907646,77.548432,62,246.5
"12.95739,77.56688",12.957386,77.566882,60,244.5
"13.03878,77.58764",13.038779,77.587638,119,244.0
"12.98904,77.60148",12.989039,77.601476,122,244.0
"13.03426,77.62454",13.034258,77.624539,122,244.0
"12.95965,77.55996",12.959647,77.559963,69,243.0
"12.97095,77.62915",12.970952,77.629151,54,240.5
"12.92347,77.58533",12.923472,77.585332,47,240.0
"12.96643,77.59225",12.96643,77.592251,72,240.0
"12.99808,77.62454",12.998083,77.624539,117,239.0
"12.9913,77.56919",12.9913,77.569188,117,237.5
"12.93704,77.70065",12.937038,77.700646,100,237.5
"12.96643,77.70065",12.96643,77.700646,68,237.0
"12.93704,77.57841",12.937038,77.578413,79,237.0
"12.97773,77.64068",12.977734,77.640683,106,235.0
"12.98,77.59917",12.979995,77.59917,77,234.0
"12.85338,77.66375",12.853383,77.663745,62,234.0
"12.95286,77.58994",12.952864,77.589945,77,234.0
"13.03426,77.62223",13.034258,77.622232,117,234.0
"12.91895,77.58303",12.91895,77.583026,77,234.0
"12.98678,77.55074",12.986778,77.550738,78,234.0
"12.90538,77.69603",12.905385,77.696033,116,232.0
"12.92121,77.62223",12.921211,77.622232,76,231.0
"12.99582,77.6107",12.995822,77.610701,114,230.5
"12.96643,77.71448",12.96643,77.714483,110,230.0
"13.00487,77.57841",13.004866,77.578413,93,228.5
"12.9913,77.57149",12.9913,77.571494,113,228.5
"12.97321,77.6084",12.973213,77.608395,111,228.0
"12.96869,77.6476",12.968691,77.647601,84,228.0
"12.96869,77.63607",12.968691,77.63607,114,228.0
"12.98452,77.54843",12.984517,77.548432,74,228.0
"12.92799,77.67758",12.927994,77.677583,114,228.0
"13.0433,77.50692",13.043301,77.506919,112,227.5
"13.01843,77.55535",13.018431,77.555351,97,226.5
"12.97321,77.5369",12.973213,77.5369,67,225.0
"13.04556,77.5",13.045562,77.5,109,224.0
"12.95286,77.58303",12.952864,77.583026,72,223.5
"12.91669,77.67066",12.916689,77.670664,79,223.0
"13.05687,77.59225",13.056867,77.592251,109,222.5
"12.97321,77.70987",12.973213,77.709871,108,221.0
"13.02521,77.54151",13.025214,77.541513,109,220.5
"12.94834,77.71679",12.948342,77.71679,55,220.0
"12.94382,77.59686",12.94382,77.596863,73,219.0
"12.9506,77.57611",12.950603,77.576107,71,219.0
"13.00487,77.52537",13.004866,77.525369,72,219.0
"13.02069,77.59225",13.020692,77.592251,108,218.5
"13.02521,77.57611",13.025214,77.576107,104,218.0
"12.99808,77.68681",12.998083,77.686808,83,217.0
"12.98226,77.55304",12.982256,77.553044,70,216.0
"12.99808,77.58072",12.998083,77.58072,106,214.5
"12.93026,77.51384",12.930255,77.513838,77,214.5
"12.90991,77.58533",12.909906,77.585332,63,213.0
"12.91443,77.57149",12.914428,77.571494,70,212.0
"12.91217,77.67758",12.912167,77.677583,104,211.5
"12.90538,77.63146",12.905385,77.631458,105,210.0
"13.02069,77.63607",13.020692,77.63607,104,208.0
"12.93252,77.61301",12.932516,77.613007,69,207.0
"12.95965,77.56227",12.959647,77.562269,46,207.0
"13.05687,77.54612",13.056867,77.546125,99,205.5
"12.98904,77.50231",12.989039,77.502306,92,205.0
"12.93478,77.60378",12.934777,77.603782,47,204.0
"12.9506,77.58994",12.950603,77.589945,65,202.5
"12.97095,77.62454",12.970952,77.624539,100,202.5
"12.98226,77.59917",12.982256,77.59917,67,201.0
"12.94608,77.58994",12.946081,77.589945,67,201.0
"12.98,77.62915",12.979995,77.629151,58,200.5
"12.90312,77.70295",12.903124,77.702952,100,200.0
"12.91669,77.5738",12.916689,77.573801,66,199.5
"12.97095,77.60378",12.970952,77.603782,54,198.0
"13.05234,77.59225",13.052345,77.592251,99,198.0
"12.96643,77.71679",12.96643,77.71679,98,196.0
"12.92573,77.57841",12.925733,77.578413,63,195.0
"12.97095,77.61301",12.970952,77.613007,97,194.0
"12.95739,77.55304",12.957386,77.553044,44,193.5
"13.04104,77.51384",13.04104,77.513838,87,192.5
"12.95739,77.66836",12.957386,77.668358,94,190.5
"12.97321,77.53921",12.973213,77.539207,63,189.0
"12.96869,77.60148",12.968691,77.601476,46,189.0
"12.94608,77.53229",12.946081,77.532288,51,188.5
"12.90538,77.54382",12.905385,77.543819,63,188.5
"12.98678,77.57149",12.986778,77.571494,93,188.5
