grid_cell,grid_lat,grid_lon,n_events,weighted,high_sev,active_days,zone,cum_share
"13.00713,77.54843",13.007126,77.548432,623,1267,21,104,Rajajinagar,0.4829
"12.96191,77.58072",12.961908,77.58072,613,1255,29,103,Halasuru Gate,0.4854
"12.97095,77.57611",12.970952,77.576107,620,1249,9,115,City Market,0.4879
"12.95739,77.70065",12.957386,77.700646,582,1233,69,85,HAL Old Airport,0.4903
"12.95965,77.57611",12.959647,77.576107,597,1217,23,106,City Market,0.4928
"12.96191,77.58303",12.961908,77.583026,586,1188,16,110,Halasuru Gate,0.4952
"12.98,77.6107",12.979995,77.610701,582,1169,5,91,Shivajinagar,0.4976
"13.00487,77.56688",13.004866,77.566882,564,1129,1,35,Malleshwaram,0.4999
"12.91217,77.63376",12.912167,77.633764,563,1127,1,78,HSR Layout,0.5022
"12.96417,77.57149",12.964169,77.571494,457,1125,211,58,Chamarajpet,0.5041
"12.97773,77.58072",12.977734,77.58072,562,1124,0,106,Upparpet,0.5064
"12.95965,77.52768",12.959647,77.527675,559,1119,1,18,Byatarayanapura,0.5087
"13.00713,77.55535",13.007126,77.555351,554,1108,0,71,Malleshwaram,0.511
"12.97321,77.61301",12.973213,77.613007,545,1107,17,99,Halasur,0.5132
"12.98,77.60148",12.979995,77.601476,541,1105,23,99,Shivajinagar,0.5154
"12.99356,77.56919",12.993561,77.569188,520,1041,1,72,Malleshwaram,0.5176
"13.00034,77.56919",13.000344,77.569188,515,1040,10,102,Malleshwaram,0.5197
"12.98452,77.55304",12.984517,77.553044,515,1030,0,91,Rajajinagar,0.5218
"13.04556,77.5738",13.045562,77.573801,507,1016,2,64,Kodigehalli,0.5239
"12.9506,77.53921",12.950603,77.539207,460,1013,93,69,Byatarayanapura,0.5258
"12.96869,77.64068",12.968691,77.640683,494,1012,24,88,Jeevanbheemanagar,0.5278
"12.96191,77.59686",12.961908,77.596863,503,1007,1,49,Ashok Nagar,0.5299
"12.98678,77.5369",12.986778,77.5369,476,1000,48,82,Vijayanagara,0.5318
"12.92573,77.67758",12.925733,77.677583,496,998,6,72,Bellandur,0.5339
"13.07043,77.58533",13.070432,77.585332,484,970,2,81,Kodigehalli,0.5359
"12.98226,77.60378",12.982256,77.603782,455,963,53,84,Shivajinagar,0.5377
"12.97095,77.5369",12.970952,77.5369,475,957,7,91,Vijayanagara,0.5397
"12.96869,77.6453",12.968691,77.645295,409,954,136,80,Jeevanbheemanagar,0.5414
"12.89182,77.63607",12.891819,77.63607,474,953,5,98,Hulimavu,0.5433
"12.9506,77.69834",12.950603,77.698339,358,952,236,72,HAL Old Airport,0.5448
"12.99356,77.61301",12.993561,77.613007,475,951,1,79,Pulikeshinagar(F.Town),0.5467
"12.93478,77.68911",12.934777,77.689114,439,943,65,55,HAL Old Airport,0.5485
"12.98904,77.57149",12.989039,77.571494,467,942,8,79,Sheshadripuram,0.5505
"12.90991,77.63607",12.909906,77.63607,466,932,0,69,HSR Layout,0.5524
"13.0953,77.59917",13.095303,77.59917,460,926,6,59,Yelahanka,0.5543
"12.92799,77.57841",12.927994,77.578413,461,922,0,40,Jayanagara,0.5562
"12.99808,77.67528",12.998083,77.675277,392,920,136,65,Mahadevapura,0.5578
"12.99582,77.56227",12.995822,77.562269,458,917,1,38,Sheshadripuram,0.5597
"12.93252,77.68681",12.932516,77.686808,403,917,111,59,HAL Old Airport,0.5613
"12.98678,77.73293",12.986778,77.732934,391,905,123,29,Mahadevapura,0.5629
"12.95512,77.70065",12.955125,77.700646,404,902,94,114,HAL Old Airport,0.5646
"12.9913,77.55074",12.9913,77.550738,450,900,0,62,Rajajinagar,0.5664
"12.93704,77.69603",12.937038,77.696033,379,889,131,93,HAL Old Airport,0.568
"12.96869,77.60609",12.968691,77.606089,439,887,9,50,Ashok Nagar,0.5698
"13.00939,77.54843",13.009387,77.548432,442,885,1,85,Malleshwaram,0.5716
"12.90538,77.62915",12.905385,77.629151,436,882,10,77,HSR Layout,0.5734
"12.97773,77.69373",12.977734,77.693727,364,874,146,80,Mahadevapura,0.5749
"13.06817,77.58533",13.068172,77.585332,434,871,3,63,Kodigehalli,0.5767
"12.92573,77.67989",12.925733,77.679889,433,869,3,57,Bellandur,0.5785
"13.00713,77.69603",13.007126,77.696033,355,863,153,70,K.R. Pura,0.5799
"12.99808,77.6107",12.998083,77.610701,428,860,4,67,Pulikeshinagar(F.Town),0.5817
"12.96417,77.53459",12.964169,77.534594,422,856,12,67,Vijayanagara,0.5834
"12.92799,77.6845",12.927994,77.684502,353,849,143,62,HAL Old Airport,0.5849
"12.9913,77.55304",12.9913,77.553044,415,835,5,55,Rajajinagar,0.5866
"12.97095,77.70987",12.970952,77.709871,364,833,105,69,HAL Old Airport,0.5881
"12.96417,77.55304",12.964169,77.553044,380,823,63,81,Magadi Road,0.5896
"13.0026,77.54843",13.002605,77.548432,405,810,0,75,Malleshwaram,0.5913
"12.99356,77.66144",12.993561,77.661439,401,802,0,75,Banaswadi,0.5929
"12.97321,77.62223",12.973213,77.622232,390,797,17,76,Halasur,0.5945
"12.9506,77.71679",12.950603,77.71679,295,793,203,43,Whitefield,0.5958
"12.96191,77.57841",12.961908,77.578413,385,784,14,82,City Market,0.5973
"12.92573,77.67528",12.925733,77.675277,386,773,1,72,Bellandur,0.5989
"12.8986,77.67528",12.898602,77.675277,382,766,2,70,Bellandur,0.6005
"12.98904,77.58764",12.989039,77.587638,382,764,0,53,High ground,0.6021
"12.99582,77.56919",12.995822,77.569188,378,760,4,95,Malleshwaram,0.6036
"12.97095,77.58072",12.970952,77.58072,374,757,9,65,Halasuru Gate,0.6052
"12.97095,77.61762",12.970952,77.61762,372,752,8,77,Halasur,0.6067
"12.96643,77.57611",12.96643,77.576107,373,752,6,82,City Market,0.6082
"12.97547,77.54382",12.975473,77.543819,372,749,5,44,Vijayanagara,0.6098
"12.97321,77.58072",12.973213,77.58072,364,749,21,90,Upparpet,0.6112
"12.9393,77.58303",12.939299,77.583026,372,745,1,36,Wilson Garden,0.6128
"12.96643,77.58764",12.96643,77.587638,368,739,3,64,Halasuru Gate,0.6143
"12.98,77.55766",12.979995,77.557657,355,737,27,91,Magadi Road,0.6157
"13.00939,77.69603",13.009387,77.696033,307,732,118,86,K.R. Pura,0.617
"13.00713,77.52537",13.007126,77.525369,279,714,156,78,Rajajinagar,0.6182
"12.96191,77.71679",12.961908,77.71679,354,708,0,49,HAL Old Airport,0.6196
"12.93704,77.58303",12.937038,77.583026,351,704,2,79,Wilson Garden,0.6211
"13.02748,77.57149",13.027475,77.571494,349,699,1,77,Sadashivanagar,0.6225
"13.01617,77.52998",13.01617,77.529982,295,694,104,47,Rajajinagar,0.6237
"12.83982,77.64299",12.839818,77.642989,345,691,1,75,Electronic City,0.6251
"12.93252,77.69142",12.932516,77.691421,325,686,36,39,HAL Old Airport,0.6265
"12.97547,77.58072",12.975473,77.58072,333,676,10,76,Upparpet,0.6278
"12.96643,77.57841",12.96643,77.578413,327,669,15,67,City Market,0.6292
"12.98452,77.60378",12.984517,77.603782,330,668,8,64,Shivajinagar,0.6305
"13.00034,77.67758",13.000344,77.677583,262,660,136,57,Mahadevapura,0.6316
"12.99808,77.55304",12.998083,77.553044,327,656,2,67,Malleshwaram,0.6329
"12.96417,77.53921",12.964169,77.539207,322,653,9,48,Vijayanagara,0.6343
"12.93026,77.68681",12.930255,77.686808,279,650,92,44,HAL Old Airport,0.6354
"12.93026,77.63146",12.930255,77.631458,309,648,30,31,Adugodi,0.6367
"13.02974,77.53459",13.029736,77.534594,295,645,55,74,Yeshwanthpura,0.6379
"12.98226,77.57611",12.982256,77.576107,318,643,7,84,High ground,0.6392
"13.00939,77.55074",13.009387,77.550738,312,630,6,96,Malleshwaram,0.6405
"12.97321,77.54843",12.973213,77.548432,305,628,18,68,Magadi Road,0.6417
"12.91669,77.57149",12.916689,77.571494,311,627,5,80,Banashankari,0.643
"12.9913,77.66144",12.9913,77.661439,312,625,1,60,Banaswadi,0.6443
"12.99808,77.53921",12.998083,77.539207,309,624,6,51,Vijayanagara,0.6456
"12.99582,77.55074",12.995822,77.550738,305,621,11,76,Rajajinagar,0.6468
"12.98,77.61301",12.979995,77.613007,310,620,0,74,Shivajinagar,0.6481
"13.04556,77.57611",13.045562,77.576107,308,616,0,50,Kodigehalli,0.6494
"12.95965,77.6476",12.959647,77.647601,289,615,37,72,Jeevanbheemanagar,0.6506
"12.96643,77.53459",12.96643,77.534594,298,611,15,72,Vijayanagara,0.6518
"13.02295,77.58303",13.022953,77.583026,305,610,0,83,R.T. Nagar,0.653
"12.95739,77.71448",12.957386,77.714483,300,609,9,57,HAL Old Airport,0.6543
"12.98,77.60378",12.979995,77.603782,298,601,5,64,Shivajinagar,0.6555
"12.96869,77.53459",12.968691,77.534594,290,595,15,66,Vijayanagara,0.6567
"12.87599,77.59456",12.875993,77.594557,295,591,1,47,Hulimavu,0.6579
"12.90765,77.59917",12.907646,77.59917,293,591,5,32,Mico Layout,0.6591
"12.95739,77.6453",12.957386,77.645295,292,588,4,58,Jeevanbheemanagar,0.6603
"12.97321,77.60609",12.973213,77.606089,289,587,9,67,Cubbon Park,0.6615
"12.98904,77.54843",12.989039,77.548432,255,584,74,58,Vijayanagara,0.6625
"12.99582,77.58303",12.995822,77.583026,271,581,39,68,Sheshadripuram,0.6637
"12.99356,77.69373",12.993561,77.693727,232,580,116,45,Mahadevapura,0.6646
"12.83982,77.67528",12.839818,77.675277,253,577,71,34,Electronic City,0.6656
"12.95965,77.51153",12.959647,77.511531,278,567,11,88,Jnanabharathi,0.6668
"12.98904,77.59917",12.989039,77.59917,278,562,6,64,Shivajinagar,0.6679
"13.18348,77.67989",13.183479,77.679889,259,562,44,80,Chikkajala,0.669
"12.99582,77.69373",12.995822,77.693727,240,561,81,41,Mahadevapura,0.67
"12.92573,77.58533",12.925733,77.585332,254,561,53,68,Jayanagara,0.671
"12.98226,77.54843",12.982256,77.548432,273,555,9,38,Magadi Road,0.6722
"12.94156,77.69603",12.941559,77.696033,221,554,112,54,HAL Old Airport,0.6731
"12.93026,77.60609",12.930255,77.606089,269,552,14,62,Mico Layout,0.6742
"12.97773,77.61301",12.977734,77.613007,274,549,1,65,Shivajinagar,0.6753
"12.98452,77.55535",12.984517,77.555351,272,547,3,93,Rajajinagar,0.6764
"12.96417,77.58072",12.964169,77.58072,270,544,4,67,Halasuru Gate,0.6775
"12.92799,77.58072",12.927994,77.58072,267,538,4,89,Jayanagara,0.6786
"13.06817,77.58764",13.068172,77.587638,268,537,1,48,Kodigehalli,0.6797
"12.97773,77.54151",12.977734,77.541513,262,535,11,73,Magadi Road,0.6808
"12.90538,77.62684",12.905385,77.626845,204,528,120,46,Madiwala,0.6816
"12.91217,77.63146",12.912167,77.631458,261,525,3,47,HSR Layout,0.6827
"12.96643,77.5369",12.96643,77.5369,262,524,0,51,Vijayanagara,0.6838
"12.93478,77.51614",12.934777,77.516144,253,522,16,49,Byatarayanapura,0.6848
"12.98678,77.59686",12.986778,77.596863,259,520,2,53,High ground,0.6859
"12.92347,77.61762",12.923472,77.61762,257,519,5,61,Madiwala,0.6869
"12.95739,77.58533",12.957386,77.585332,258,518,2,85,Wilson Garden,0.688
"12.93026,77.69142",12.930255,77.691421,228,517,61,24,HAL Old Airport,0.6889
"13.188,77.67989",13.188001,77.679889,252,504,0,56,Devanahalli Airport,0.69
"13.0026,77.55304",13.002605,77.553044,247,496,2,49,Malleshwaram,0.691
"12.97773,77.63838",12.977734,77.638376,210,485,65,42,Jeevanbheemanagar,0.6919
"12.99356,77.6084",12.993561,77.608395,239,481,3,31,Pulikeshinagar(F.Town),0.6928
"12.99356,77.66605",12.993561,77.666052,186,481,109,53,Mahadevapura,0.6936
"12.98678,77.54843",12.986778,77.548432,219,480,42,63,Vijayanagara,0.6945
"12.97321,77.61993",12.973213,77.619926,225,479,29,66,Halasur,0.6954
"12.95739,77.5738",12.957386,77.573801,237,479,5,62,City Market,0.6964
"12.95512,77.51845",12.955125,77.51845,213,478,52,44,Byatarayanapura,0.6973
"13.02748,77.5738",13.027475,77.573801,238,477,1,56,Sadashivanagar,0.6983
"12.95965,77.59686",12.959647,77.596863,238,476,0,35,Ashok Nagar,0.6992
"12.98678,77.5738",12.986778,77.573801,237,474,0,78,Sheshadripuram,0.7002
"13.04782,77.59225",13.047823,77.592251,236,474,2,44,Hebbala,0.7012
"13.00713,77.69142",13.007126,77.691421,220,470,30,70,K.R. Pura,0.7021
"12.93026,77.58303",12.930255,77.583026,233,470,4,69,Jayanagara,0.703
"12.88956,77.63838",12.889558,77.638376,218,470,34,68,HSR Layout,0.7039
"12.99582,77.61301",12.995822,77.613007,234,468,0,50,Pulikeshinagar(F.Town),0.7049
"12.95512,77.58533",12.955125,77.585332,234,468,0,108,Wilson Garden,0.7059
"12.97773,77.6084",12.977734,77.608395,229,467,9,28,Shivajinagar,0.7068
"12.95739,77.51845",12.957386,77.51845,202,465,61,56,Byatarayanapura,0.7076
"12.99808,77.54151",12.998083,77.541513,227,462,8,61,Vijayanagara,0.7086
"12.99356,77.55074",12.993561,77.550738,229,459,1,45,Rajajinagar,0.7095
"12.91217,77.60609",12.912167,77.606089,229,458,0,33,Mico Layout,0.7104
"13.09304,77.59225",13.093042,77.592251,227,455,1,31,Yelahanka,0.7114
"12.94382,77.59456",12.94382,77.594557,226,453,1,65,Wilson Garden,0.7123
"12.95965,77.64299",12.959647,77.642989,213,452,26,74,Jeevanbheemanagar,0.7132
"12.97095,77.61531",12.970952,77.615314,215,443,13,67,Halasur,0.7141
"12.94382,77.57149",12.94382,77.571494,214,437,9,66,Basavanagudi,0.7149
"12.98,77.54843",12.979995,77.548432,215,437,7,53,Magadi Road,0.7158
"12.99356,77.55304",12.993561,77.553044,194,423,35,58,Rajajinagar,0.7166
"12.84208,77.64299",12.842079,77.642989,204,418,10,66,Electronic City,0.7175
"12.95739,77.58072",12.957386,77.58072,204,417,9,43,City Market,0.7183
"12.92573,77.55074",12.925733,77.550738,200,415,15,26,Banashankari,0.7191
"12.93478,77.61301",12.934777,77.613007,200,414,14,62,Adugodi,0.72
"12.94156,77.56688",12.941559,77.566882,202,407,3,57,Basavanagudi,0.7208
"13.05008,77.52537",13.050084,77.525369,202,404,0,25,Jalahalli,0.7216
"12.97095,77.6453",12.970952,77.645295,162,403,79,41,Jeevanbheemanagar,0.7223
"12.98904,77.55074",12.989039,77.550738,199,403,5,48,Rajajinagar,0.7231
"12.8873,77.56227",12.887297,77.562269,200,400,0,43,Thalagattapura,0.7239
"12.93478,77.53459",12.934777,77.534594,200,400,0,29,Banashankari,0.7247
"12.97321,77.61531",12.973213,77.615314,196,397,5,69,Halasur,0.7255
"13.02974,77.5369",13.029736,77.5369,181,395,33,65,Yeshwanthpura,0.7263
"13.02521,77.57841",13.025214,77.578413,196,392,0,46,Kodigehalli,0.7271
"12.98904,77.5738",12.989039,77.573801,195,392,2,62,Sheshadripuram,0.7279
"13.07043,77.59225",13.070432,77.592251,194,392,4,48,Kodigehalli,0.7287
"12.95286,77.58533",12.952864,77.585332,195,390,0,72,Wilson Garden,0.7295
"12.98452,77.55074",12.984517,77.550738,195,390,0,60,Rajajinagar,0.7303
"13.01391,77.55304",13.013909,77.553044,146,388,96,39,Malleshwaram,0.7309
"13.032,77.55766",13.031997,77.557657,133,387,121,16,Yeshwanthpura,0.7314
"12.88504,77.64068",12.885036,77.640683,193,386,0,52,Hulimavu,0.7322
"12.93252,77.62915",12.932516,77.629151,193,386,0,35,Adugodi,0.733
"12.97773,77.56919",12.977734,77.569188,165,384,54,46,Chamarajpet,0.7337
"12.93704,77.69834",12.937038,77.698339,172,384,40,41,HAL Old Airport,0.7344
"12.99582,77.54382",12.995822,77.543819,190,383,3,58,Vijayanagara,0.7352
"12.98678,77.57841",12.986778,77.578413,188,381,5,51,High ground,0.736
"12.95512,77.70295",12.955125,77.702952,177,381,27,45,HAL Old Airport,0.7367
"12.98452,77.5738",12.984517,77.573801,190,380,0,63,Sheshadripuram,0.7375
"12.97773,77.62684",12.977734,77.626845,151,380,78,53,Jeevanbheemanagar,0.7381
"13.01843,77.52998",13.018431,77.529982,172,379,35,48,Rajajinagar,0.7388
"12.9393,77.56458",12.939299,77.564576,188,379,3,45,Basavanagudi,0.7396
"13.12017,77.62915",13.120173,77.629151,151,378,76,40,Chikkajala,0.7402
"13.06139,77.58533",13.061389,77.585332,173,376,30,61,Kodigehalli,0.7409
"12.97095,77.60609",12.970952,77.606089,181,376,14,61,Ashok Nagar,0.7417
"12.98904,77.5",12.989039,77.5,185,373,3,29,Kamakshipalya,0.7424
"13.0026,77.7214",13.002605,77.721402,123,369,123,32,K.R. Pura,0.7429
"12.95512,77.71448",12.955125,77.714483,168,368,32,44,HAL Old Airport,0.7436
"13.02748,77.54151",13.027475,77.541513,173,368,22,31,Yeshwanthpura,0.7443
"12.95965,77.59917",12.959647,77.59917,183,367,1,36,Ashok Nagar,0.7451
"12.99582,77.56688",12.995822,77.566882,182,365,1,35,Malleshwaram,0.7458
"12.95965,77.52537",12.959647,77.525369,182,364,0,12,Byatarayanapura,0.7466
"12.98904,77.55304",12.989039,77.553044,180,362,2,34,Rajajinagar,0.7473
"12.93026,77.69373",12.930255,77.693727,135,362,92,19,HAL Old Airport,0.7479
"12.95739,77.6476",12.957386,77.647601,170,362,22,62,Jeevanbheemanagar,0.7486
"12.96869,77.64299",12.968691,77.642989,158,362,46,55,Jeevanbheemanagar,0.7492
"13.05008,77.59225",13.050084,77.592251,176,361,9,37,Kodigehalli,0.7499
"12.91217,77.60378",12.912167,77.603782,179,359,1,26,Mico Layout,0.7507
"13.02295,77.59225",13.022953,77.592251,177,359,5,29,R.T. Nagar,0.7514
"12.96191,77.59456",12.961908,77.594557,177,354,0,20,Ashok Nagar,0.7521
"13.00713,77.54612",13.007126,77.546125,176,353,1,48,Rajajinagar,0.7529
"13.06139,77.58994",13.061389,77.589945,165,352,22,41,Kodigehalli,0.7535
"13.05008,77.55074",13.050084,77.550738,160,350,30,42,Jalahalli,0.7542
"12.91217,77.63607",12.912167,77.63607,175,350,0,60,HSR Layout,0.7549
"13.04556,77.74908",13.045562,77.749077,152,349,45,72,K.R. Pura,0.7555
"12.94382,77.69603",12.94382,77.696033,154,348,40,34,HAL Old Airport,0.7562
"12.96191,77.64068",12.961908,77.640683,163,348,22,42,Jeevanbheemanagar,0.7568
"13.00713,77.54151",13.007126,77.541513,171,347,5,55,Rajajinagar,0.7575
"13.02748,77.53921",13.027475,77.539207,151,347,45,61,Yeshwanthpura,0.7582
"12.96869,77.63838",12.968691,77.638376,162,344,20,46,Jeevanbheemanagar,0.7588
"12.97547,77.58764",12.975473,77.587638,164,343,15,36,Cubbon Park,0.7595
"12.93026,77.6084",12.930255,77.608395,141,341,59,54,Mico Layout,0.7601
"13.00487,77.54843",13.004866,77.548432,168,338,2,40,Rajajinagar,0.7608
"13.02748,77.56919",13.027475,77.569188,162,337,13,21,Sadashivanagar,0.7614
"12.95965,77.71448",12.959647,77.714483,167,334,0,40,HAL Old Airport,0.7621
"12.92799,77.58303",12.927994,77.583026,166,332,0,51,Jayanagara,0.7628
"12.95512,77.57611",12.955125,77.576107,164,330,2,43,City Market,0.7635
"12.90538,77.59917",12.905385,77.59917,160,328,8,32,J.P. Nagar,0.7641
"12.97095,77.54612",12.970952,77.546125,161,328,6,42,Magadi Road,0.7648
"12.92573,77.69373",12.925733,77.693727,129,328,70,34,Bellandur,0.7653
"12.98678,77.51845",12.986778,77.51845,164,328,0,24,Kamakshipalya,0.766
"12.86921,77.65221",12.86921,77.652214,162,327,3,45,Electronic City,0.7667
"13.03878,77.51845",13.038779,77.51845,155,326,16,52,Peenya,0.7673
"12.96869,77.57611",12.968691,77.576107,163,326,0,52,City Market,0.768
"13.0026,77.56919",13.002605,77.569188,162,324,0,42,Malleshwaram,0.7686
"12.91895,77.66375",12.91895,77.663745,161,322,0,68,Bellandur,0.7693
"12.95739,77.66605",12.957386,77.666052,160,321,1,11,HAL Old Airport,0.77
"12.88278,77.64068",12.882775,77.640683,159,318,0,51,Hulimavu,0.7706
"12.98904,77.59686",12.989039,77.596863,155,316,6,50,Shivajinagar,0.7713
"12.93478,77.60148",12.934777,77.601476,119,316,78,64,Mico Layout,0.7717
"13.01843,77.55766",13.018431,77.557657,153,315,9,37,Yeshwanthpura,0.7724
"12.95965,77.58533",12.959647,77.585332,154,312,4,39,Halasuru Gate,0.773
"12.98904,77.5369",12.989039,77.5369,152,309,5,40,Vijayanagara,0.7736
"12.93704,77.57611",12.937038,77.576107,153,307,1,43,Basavanagudi,0.7743
"12.95965,77.70065",12.959647,77.700646,149,307,9,50,HAL Old Airport,0.7749
"12.89634,77.7191",12.896341,77.719096,149,307,9,60,Whitefield,0.7755
"12.83982,77.6476",12.839818,77.647601,152,304,0,38,Electronic City,0.7761
"12.98678,77.61762",12.986778,77.61762,148,304,8,49,Pulikeshinagar(F.Town),0.7767
"12.9913,77.5369",12.9913,77.5369,147,303,9,24,Vijayanagara,0.7773
"12.91217,77.62454",12.912167,77.624539,148,297,1,63,HSR Layout,0.7779
"13.18122,77.67758",13.181218,77.677583,126,297,45,48,Chikkajala,0.7784
"13.19026,77.67989",13.190262,77.679889,148,296,0,42,Devanahalli Airport,0.7791
"12.99356,77.57149",12.993561,77.571494,148,296,0,53,Malleshwaram,0.7797
"13.18574,77.67758",13.18574,77.677583,132,292,28,48,Chikkajala,0.7802
